Country,Region,Urban,Origin,Year1,Year2,Age,AgeInt,AgeDef,Vitality,   ASFR,   CPFR,Collection,SourceType,   RefCode,Note,Split
    JPN,     .,    .,     ., 1951, 1951, 28,     1,   ACY,       1,0.21138,1.42360,       ODE,  estimate,    JPN_01,   .,    0
    JPN,     .,    .,     ., 1951, 1951, 29,     1,   ACY,       1,0.20318,1.63498,       ODE,  estimate,    JPN_01,   .,    0
    JPN,     .,    .,     ., 1951, 1951, 30,     1,   ACY,       1,0.18998,1.83816,       ODE,  estimate,    JPN_01,   .,    0
    JPN,     .,    .,     ., 1951, 1951, 31,     1,   ACY,       1,0.16976,2.02814,       ODE,  estimate,    JPN_01,   .,    0
    JPN,     .,    .,     ., 1951, 1951, 32,     1,   ACY,       1,0.15440,2.19790,       ODE,  estimate,    JPN_01,   .,    0
    JPN,     .,    .,     ., 1951, 1951, 33,     1,   ACY,       1,0.14370,2.35230,       ODE,  estimate,    JPN_01,   .,    0
    JPN,     .,    .,     ., 1951, 1951, 34,     1,   ACY,       1,0.13266,2.49600,       ODE,  estimate,    JPN_01,   .,    0
    JPN,     .,    .,     ., 1951, 1951, 35,     1,   ACY,       1,0.11605,2.62866,       ODE,  estimate,    JPN_01,   .,    0
    JPN,     .,    .,     ., 1951, 1951, 36,     1,   ACY,       1,0.10257,2.74471,       ODE,  estimate,    JPN_01,   .,    0
    JPN,     .,    .,     ., 1951, 1951, 37,     1,   ACY,       1,0.08916,2.84728,       ODE,  estimate,    JPN_01,   .,    0
    JPN,     .,    .,     ., 1951, 1951, 38,     1,   ACY,       1,0.07588,2.93644,       ODE,  estimate,    JPN_01,   .,    0
    JPN,     .,    .,     ., 1951, 1951, 39,     1,   ACY,       1,0.06252,3.01232,       ODE,  estimate,    JPN_01,   .,    0
    JPN,     .,    .,     ., 1951, 1951, 40,     1,   ACY,       1,0.05011,3.07484,       ODE,  estimate,    JPN_01,   .,    0
    JPN,     .,    .,     ., 1951, 1951, 41,     1,   ACY,       1,0.03772,3.12495,       ODE,  estimate,    JPN_01,   .,    0
    JPN,     .,    .,     ., 1951, 1951, 42,     1,   ACY,       1,0.02617,3.16267,       ODE,  estimate,    JPN_01,   .,    0
    JPN,     .,    .,     ., 1951, 1951, 43,     1,   ACY,       1,0.01629,3.18884,       ODE,  estimate,    JPN_01,   .,    0
    JPN,     .,    .,     ., 1951, 1951, 44,     1,   ACY,       1,0.00879,3.20513,       ODE,  estimate,    JPN_01,   .,    0
    JPN,     .,    .,     ., 1951, 1951, 45,     1,   ACY,       1,0.00412,3.21392,       ODE,  estimate,    JPN_01,   .,    0
    JPN,     .,    .,     ., 1951, 1951, 46,     1,   ACY,       1,0.00176,3.21804,       ODE,  estimate,    JPN_01,   .,    0
    JPN,     .,    .,     ., 1951, 1951, 47,     1,   ACY,       1,0.00087,3.21980,       ODE,  estimate,    JPN_01,   .,    0
    JPN,     .,    .,     ., 1951, 1951, 48,     1,   ACY,       1,0.00046,3.22067,       ODE,  estimate,    JPN_01,   .,    0
    JPN,     .,    .,     ., 1951, 1951, 49,     1,   ACY,       1,0.00022,3.22113,       ODE,  estimate,    JPN_01,   .,    2
    JPN,     .,    .,     ., 1951, 1951, 50,    99,   ACY,       1,0.00011,3.22135,       ODE,  estimate,    JPN_01,   .,    2
    JPN,     .,    .,     ., 1952, 1952, 14,   -99,   ACY,       1,0.00002,0.00000,       ODE,  estimate,    JPN_01,   .,    2
    JPN,     .,    .,     ., 1952, 1952, 15,     1,   ACY,       1,0.00015,0.00002,       ODE,  estimate,    JPN_01,   .,    2
    JPN,     .,    .,     ., 1952, 1952, 16,     1,   ACY,       1,0.00092,0.00017,       ODE,  estimate,    JPN_01,   .,    0
    JPN,     .,    .,     ., 1952, 1952, 17,     1,   ACY,       1,0.00370,0.00109,       ODE,  estimate,    JPN_01,   .,    0
    JPN,     .,    .,     ., 1952, 1952, 18,     1,   ACY,       1,0.01170,0.00479,       ODE,  estimate,    JPN_01,   .,    0
    JPN,     .,    .,     ., 1952, 1952, 19,     1,   ACY,       1,0.02849,0.01649,       ODE,  estimate,    JPN_01,   .,    0
    JPN,     .,    .,     ., 1952, 1952, 20,     1,   ACY,       1,0.05669,0.04498,       ODE,  estimate,    JPN_01,   .,    0
    JPN,     .,    .,     ., 1952, 1952, 21,     1,   ACY,       1,0.09272,0.10167,       ODE,  estimate,    JPN_01,   .,    0
    JPN,     .,    .,     ., 1952, 1952, 22,     1,   ACY,       1,0.13580,0.19439,       ODE,  estimate,    JPN_01,   .,    0
    JPN,     .,    .,     ., 1952, 1952, 23,     1,   ACY,       1,0.17289,0.33019,       ODE,  estimate,    JPN_01,   .,    0
    JPN,     .,    .,     ., 1952, 1952, 24,     1,   ACY,       1,0.19860,0.50308,       ODE,  estimate,    JPN_01,   .,    0
